video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
31170,468,"polyps undeterminable","VME coral species polyp behaviour > polyps undeterminable",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[378.48,183.72]]",[962.594854],31179,"2025-02-19 12:08:13","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31171,341,G3,"Health indicators Gorgonians > G3",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[359.73,272.79]]",[962.594854],31180,"2025-02-19 12:12:22","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31172,559,"medium confidence","Confidence level for qualitative categories > medium confidence",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[334.29,264.08]]",[962.594854],31181,"2025-02-19 12:12:28","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31173,466,"spare coral associated fauna","Corals associated fauna > spare coral associated fauna",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[435.4,221.22]]",[962.594854],31182,"2025-02-19 12:12:50","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31174,430,"Echinus stet.","Fauna > Echinoidea stet. > Echinus stet.",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[435.4,188.41]]",[962.594854],31183,"2025-02-19 12:12:57","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31175,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[973.79,529.93]]",[963.193656],31184,"2025-02-19 12:14:56","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31176,714,"VME Porifera fan/stalk/cup/funnel <10 cm","VME sponge > VME Porifera fan/stalk/cup/funnel <10 cm",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[601.47,505.15]]",[963.193656],31185,"2025-02-19 12:15:02","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31177,322,"Laser points","Laser points",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[733.39,709.39]]",[970.515438],31186,"2025-02-19 12:19:49","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31178,322,"Laser points","Laser points",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[759.51,675.24]]",[970.515438],31187,"2025-02-19 12:19:51","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31181,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1409.06,403.37]]",[973.188713],31190,"2025-02-19 12:32:06","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31182,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1591.21,503.14]]",[972.420954],31191,"2025-02-19 12:32:22","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31183,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1119.78,952.47]]",[983.018389],31192,"2025-02-19 12:34:41","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31184,578,"Porifera fan/funnel/stalk/cup","VME sponge > VME Porifera fan/stalk/cup/funnel > Porifera fan/funnel/stalk/cup",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[952.37,943.77]]",[983.018389],31193,"2025-02-19 12:34:53","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31185,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1003.93,838.63]]",[982.894883],31194,"2025-02-19 12:36:49","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31186,426,"Crinoidea stet.","Fauna > Crinoidea stet.",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[407.95,461.62]]",[974.347193],31195,"2025-02-19 12:37:18","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31187,322,"Laser points","Laser points",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[736.74,714.75]]",[980.527101],31196,"2025-02-19 12:38:09","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31188,322,"Laser points","Laser points",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[768.88,696.67]]",[980.527101],31197,"2025-02-19 12:38:11","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31189,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1496.79,704.71]]",[983.147203],31198,"2025-02-19 12:41:43","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
