"","...1","datetime","depth","heading","lon","lat","videotime"
"68",68,2021-01-07 09:33:21,319.6,202,15.52118267,67.901471,00:02:17
"69",69,2021-01-07 09:33:23,319.1,202,15.52117317,67.9014715,00:02:19
"70",70,2021-01-07 09:33:25,318.7,199,15.52116633,67.90147267,00:02:21
"71",71,2021-01-07 09:33:27,318.4,201,15.52116,67.90147417,00:02:23
"72",72,2021-01-07 09:33:29,318.4,190,15.52115567,67.90147617,00:02:25
"73",73,2021-01-07 09:33:31,318.4,198,15.521153,67.90148017,00:02:26
"74",74,2021-01-07 09:33:33,318.4,202,15.52115067,67.90147417,00:02:30
"75",75,2021-01-07 09:33:35,318.1,209,15.52115283,67.90147033,00:02:32
"76",76,2021-01-07 09:33:37,318,216,15.52115083,67.90146733,00:02:34
"77",77,2021-01-07 09:33:39,317.8,217,15.5211545,67.90146583,00:02:36
"78",78,2021-01-07 09:33:41,317.7,218,15.521147,67.90146367,00:02:37
"79",79,2021-01-07 09:33:43,317.5,217,15.52114683,67.90145867,00:02:39
"80",80,2021-01-07 09:33:45,317.4,216,15.52114717,67.90145617,00:02:41
"81",81,2021-01-07 09:33:47,317.3,216,15.52115,67.90145167,00:02:43
"82",82,2021-01-07 09:33:49,317.2,214,15.5211415,67.901449,00:02:45
"83",83,2021-01-07 09:33:51,317.2,207,15.5211425,67.90144783,00:02:47
"84",84,2021-01-07 09:33:53,317.4,197,15.52114333,67.90144617,00:02:49
"85",85,2021-01-07 09:33:55,317.2,192,15.52114133,67.901445,00:02:50
"86",86,2021-01-07 09:33:57,316.8,188,15.52113633,67.90144433,00:02:52
"87",87,2021-01-07 09:33:59,316.7,183,15.52114233,67.901446,00:02:56
"88",88,2021-01-07 09:34:01,316.6,190,15.5211425,67.90144667,00:02:58
"89",89,2021-01-07 09:34:03,316.9,184,15.5211355,67.90144617,NA
"90",90,2021-01-07 09:34:05,317.1,187,15.52113983,67.9014445,00:03:02
"91",91,2021-01-07 09:34:07,317.2,191,15.52113967,67.90144133,00:03:03
"92",92,2021-01-07 09:34:09,317.3,194,15.521137,67.901437,00:03:05
"93",93,2021-01-07 09:34:11,317.5,193,15.5211355,67.9014325,00:03:07
"94",94,2021-01-07 09:34:13,317.5,195,15.52113183,67.90143033,00:03:09
"95",95,2021-01-07 09:34:15,317.6,193,15.52113517,67.90142483,00:03:11
"96",96,2021-01-07 09:34:17,317.7,194,15.52113083,67.90142467,00:03:13
"97",97,2021-01-07 09:34:19,317.7,197,15.521134,67.90142183,00:03:15
"98",98,2021-01-07 09:34:21,317.6,197,15.5211455,67.90141617,00:03:16
"99",99,2021-01-07 09:34:23,317.7,198,15.5211455,67.90141617,00:03:16
"100",100,2021-01-07 09:34:25,317.7,194,15.52115783,67.90141283,00:03:21
"101",101,2021-01-07 09:34:27,317.6,197,15.52116367,67.901415,00:03:23
"102",102,2021-01-07 09:34:29,317.6,195,15.52116267,67.90141783,00:03:25
"103",103,2021-01-07 09:34:31,317.4,191,15.52115867,67.90141917,00:03:27
"104",104,2021-01-07 09:34:33,317.2,186,15.52114933,67.9014185,00:03:29
"105",105,2021-01-07 09:34:35,317.1,179,15.52113517,67.90141717,00:03:31
"106",106,2021-01-07 09:34:37,316.9,176,15.52112917,67.90141033,00:03:32
"107",107,2021-01-07 09:34:39,316.7,178,15.52111917,67.90141117,00:03:34
"108",108,2021-01-07 09:34:41,316.5,179,15.52112883,67.90141183,00:03:38
"109",109,2021-01-07 09:34:43,316.3,179,15.52112683,67.901412,00:03:40
"110",110,2021-01-07 09:34:45,316.1,178,15.5211335,67.90141217,00:03:42
"111",111,2021-01-07 09:34:47,315.9,176,15.52113683,67.9014155,00:03:44
"112",112,2021-01-07 09:34:49,315.6,178,15.52114917,67.90141517,00:03:45
"113",113,2021-01-07 09:34:51,315.5,178,15.52116083,67.90141467,00:03:47
"114",114,2021-01-07 09:34:53,315.2,180,15.52116167,67.90141533,00:03:49
"115",115,2021-01-07 09:34:55,315.2,182,15.521157,67.90141383,00:03:51
"116",116,2021-01-07 09:34:57,315,185,15.52116483,67.90141317,00:03:53
"117",117,2021-01-07 09:34:59,314.7,188,15.52117717,67.90141383,00:03:55
"118",118,2021-01-07 09:35:01,314.2,190,15.52118017,67.9014165,00:03:57
"119",119,2021-01-07 09:35:03,314,191,15.52117767,67.90141767,00:03:58
"120",120,2021-01-07 09:35:05,313.9,190,15.52117633,67.901421,00:04:02
"121",121,2021-01-07 09:35:07,313.9,186,15.52117017,67.90142033,00:04:04
"122",122,2021-01-07 09:35:09,313.7,185,15.5211755,67.90141933,00:04:06
"123",123,2021-01-07 09:35:11,313.4,185,15.521171,67.90142017,00:04:08
"124",124,2021-01-07 09:35:13,313.2,184,15.521173,67.90141967,00:04:09
"125",125,2021-01-07 09:35:15,313.1,185,15.52117183,67.90141917,00:04:11
"126",126,2021-01-07 09:35:17,312.9,185,15.52117367,67.90141883,00:04:13
"127",127,2021-01-07 09:35:19,312.7,182,15.52117617,67.90141917,00:04:15
"128",128,2021-01-07 09:35:21,312.7,187,15.52118217,67.901422,00:04:17
"129",129,2021-01-07 09:35:23,312.6,189,15.521191,67.90142283,00:04:19
"130",130,2021-01-07 09:35:25,312.4,190,15.52119833,67.9014225,00:04:21
"131",131,2021-01-07 09:35:27,312.3,191,15.521203,67.9014215,00:04:22
"132",132,2021-01-07 09:35:29,312.3,192,15.52121483,67.90141767,00:04:24
"133",133,2021-01-07 09:35:31,312.1,192,15.52123117,67.901411,00:04:28
"134",134,2021-01-07 09:35:33,311.9,192,15.521233,67.90140867,00:04:30
"135",135,2021-01-07 09:35:35,311.7,187,15.52123133,67.90140633,00:04:32
"136",136,2021-01-07 09:35:37,311.6,185,15.52122883,67.9014035,00:04:34
"137",137,2021-01-07 09:35:39,311.6,187,15.52123317,67.90140133,00:04:35
"138",138,2021-01-07 09:35:41,311.3,188,15.521233,67.90139867,00:04:37
"139",139,2021-01-07 09:35:43,311.2,188,15.52123383,67.90139717,00:04:39
"140",140,2021-01-07 09:35:45,311,185,15.52123833,67.901397,00:04:41
"141",141,2021-01-07 09:35:47,310.7,183,15.52123717,67.90139817,00:04:43
"142",142,2021-01-07 09:35:49,310.4,179,15.52124567,67.9013975,00:04:45
"143",143,2021-01-07 09:35:51,310.4,179,15.52124483,67.90139783,00:04:47
"144",144,2021-01-07 09:35:53,310.1,178,15.52125,67.90139767,00:04:48
"145",145,2021-01-07 09:35:55,310.1,171,15.52125183,67.90139817,00:04:50
"146",146,2021-01-07 09:35:57,309.9,166,15.52125367,67.90139783,00:04:54
"147",147,2021-01-07 09:35:59,309.6,160,15.52125517,67.9013965,00:04:56
"148",148,2021-01-07 09:36:01,309.4,160,15.52126017,67.90139733,00:04:58
"149",149,2021-01-07 09:36:03,309.4,159,15.52126217,67.90139933,NA
"150",150,2021-01-07 09:36:05,309.3,160,15.52126333,67.90140067,00:05:01
"151",151,2021-01-07 09:36:07,309.1,159,15.5212625,67.901404,00:05:03
"152",152,2021-01-07 09:36:09,308.9,155,15.521259,67.9014065,00:05:05
"153",153,2021-01-07 09:36:11,308.7,161,15.5212595,67.90140917,00:05:07
"154",154,2021-01-07 09:36:13,308.5,162,15.52126217,67.90141167,00:05:09
"155",155,2021-01-07 09:36:15,308.7,169,15.521262,67.90141383,00:05:11
"156",156,2021-01-07 09:36:17,308.6,167,15.52126683,67.90141633,00:05:13
"157",157,2021-01-07 09:36:19,308.7,171,15.52126733,67.90141867,00:05:14
"158",158,2021-01-07 09:36:21,308.8,171,15.52128833,67.90141867,00:05:18
"159",159,2021-01-07 09:36:23,308.7,174,15.52129317,67.90142033,00:05:20
"160",160,2021-01-07 09:36:25,308.8,180,15.5212995,67.90141917,00:05:22
"161",161,2021-01-07 09:36:27,308.9,182,15.521302,67.90141783,00:05:24
"162",162,2021-01-07 09:36:29,309,182,15.52131067,67.90141367,00:05:26
"163",163,2021-01-07 09:36:31,309.2,180,15.52131983,67.90140933,00:05:27
"164",164,2021-01-07 09:36:33,309.2,180,15.52132283,67.90140617,00:05:29
"165",165,2021-01-07 09:36:35,309.1,181,15.52132467,67.90140167,00:05:31
"166",166,2021-01-07 09:36:37,309.1,180,15.52131867,67.90139967,00:05:33
"167",167,2021-01-07 09:36:39,309.2,178,15.52131767,67.90139883,00:05:35
"168",168,2021-01-07 09:36:41,309.3,179,15.521319,67.901398,00:05:37
"169",169,2021-01-07 09:36:43,309.3,180,15.52131333,67.9013985,00:05:38
"170",170,2021-01-07 09:36:45,309.3,181,15.521309,67.90140017,00:05:40
"171",171,2021-01-07 09:36:47,308.9,182,15.52129333,67.9014045,00:05:44
"172",172,2021-01-07 09:36:49,308.5,180,15.52128617,67.90140733,00:05:46
"173",173,2021-01-07 09:36:51,308.2,177,15.52127217,67.90141083,00:05:48
"174",174,2021-01-07 09:36:53,307.8,180,15.52126867,67.90141333,00:05:50
"175",175,2021-01-07 09:36:55,307.7,178,15.52126767,67.90141233,00:05:51
"176",176,2021-01-07 09:36:57,307.3,179,15.52126267,67.90141117,00:05:53
"177",177,2021-01-07 09:36:59,307.1,180,15.52126,67.9014095,00:05:55
"178",178,2021-01-07 09:37:01,306.9,181,15.52125917,67.9014075,00:05:57
"179",179,2021-01-07 09:37:03,306.5,183,15.52125633,67.90140683,00:05:59
"180",180,2021-01-07 09:37:05,306.2,180,15.521265,67.90140583,00:06:01
"181",181,2021-01-07 09:37:07,306.2,178,15.52126733,67.90140633,00:06:03
"182",182,2021-01-07 09:37:09,305.9,178,15.52126883,67.90140617,00:06:04
"183",183,2021-01-07 09:37:11,305.6,184,15.52127567,67.90140483,00:06:06
"184",184,2021-01-07 09:37:13,305.2,186,15.5212815,67.90140567,00:06:10
"185",185,2021-01-07 09:37:15,304.9,184,15.5212825,67.901406,00:06:12
"186",186,2021-01-07 09:37:17,304.6,181,15.5212815,67.90140667,00:06:14
"187",187,2021-01-07 09:37:19,304.3,179,15.52128,67.9014065,00:06:16
"188",188,2021-01-07 09:37:21,304.2,182,15.521283,67.90140817,00:06:17
"189",189,2021-01-07 09:37:23,304,182,15.521283,67.90140833,00:06:19
"190",190,2021-01-07 09:37:25,303.7,183,15.52128883,67.90141083,00:06:21
"191",191,2021-01-07 09:37:27,303.5,181,15.52128417,67.901412,00:06:23
"192",192,2021-01-07 09:37:29,303.3,181,15.521285,67.901413,00:06:25
"193",193,2021-01-07 09:37:31,303,181,15.5212925,67.90141283,00:06:27
"194",194,2021-01-07 09:37:33,302.8,179,15.521295,67.90141017,00:06:29
"195",195,2021-01-07 09:37:35,302.6,178,15.52129617,67.90140817,00:06:30
"196",196,2021-01-07 09:37:37,302.4,178,15.521292,67.9014085,00:06:32
"197",197,2021-01-07 09:37:39,302.2,177,15.52130167,67.9014095,00:06:36
"198",198,2021-01-07 09:37:41,302.1,176,15.5213105,67.9014105,00:06:38
"199",199,2021-01-07 09:37:43,302,178,15.52131533,67.90141233,00:06:40
"200",200,2021-01-07 09:37:45,301.7,179,15.52131233,67.90141333,00:06:42
"201",201,2021-01-07 09:37:47,301.5,180,15.52131033,67.90141383,00:06:43
"202",202,2021-01-07 09:37:49,301.4,175,15.52130967,67.90141167,00:06:45
"203",203,2021-01-07 09:37:51,301.3,180,15.52130567,67.90141217,00:06:47
"204",204,2021-01-07 09:37:53,301.1,177,15.52130283,67.90141483,00:06:49
"205",205,2021-01-07 09:37:55,301,175,15.52130567,67.90141417,00:06:51
"206",206,2021-01-07 09:37:57,300.9,175,15.521303,67.9014145,00:06:53
"207",207,2021-01-07 09:37:59,300.7,173,15.5212935,67.90141817,00:06:54
"208",208,2021-01-07 09:38:01,300.6,174,15.52128383,67.9014215,00:06:56
"209",209,2021-01-07 09:38:03,300.4,177,15.52126583,67.901419,00:07:00
"210",210,2021-01-07 09:38:05,300.3,177,15.52126083,67.9014185,00:07:02
"211",211,2021-01-07 09:38:07,300.1,175,15.52125167,67.90141917,00:07:04
"212",212,2021-01-07 09:38:09,300.1,180,15.52123517,67.90141933,00:07:06
"213",213,2021-01-07 09:38:11,299.9,178,15.52123267,67.90141817,00:07:07
"214",214,2021-01-07 09:38:13,299.7,178,15.52123233,67.90141833,00:07:09
"215",215,2021-01-07 09:38:15,299.7,176,15.521232,67.901418,00:07:11
"216",216,2021-01-07 09:38:17,299.4,175,15.5212275,67.90141833,00:07:13
"217",217,2021-01-07 09:38:19,299.4,177,15.52122883,67.9014185,00:07:15
"218",218,2021-01-07 09:38:21,299.3,173,15.52123367,67.9014175,00:07:17
"219",219,2021-01-07 09:38:23,299.3,176,15.521238,67.90141683,00:07:19
"220",220,2021-01-07 09:38:25,299.4,176,15.52124633,67.90141667,00:07:20
"221",221,2021-01-07 09:38:27,299.3,172,15.52124783,67.9014185,00:07:22
"222",222,2021-01-07 09:38:29,299.1,167,15.5212505,67.90141733,00:07:26
"223",223,2021-01-07 09:38:31,298.9,170,15.52125217,67.90141433,00:07:28
"224",224,2021-01-07 09:38:33,298.7,174,15.52125833,67.90141033,00:07:30
"225",225,2021-01-07 09:38:35,298.3,177,15.521271,67.9014075,00:07:32
"226",226,2021-01-07 09:38:37,298,176,15.52127583,67.90141,00:07:33
"227",227,2021-01-07 09:38:39,297.8,180,15.52127733,67.90140883,00:07:35
"228",228,2021-01-07 09:38:41,297.6,184,15.52128217,67.90141233,00:07:37
"229",229,2021-01-07 09:38:43,297.4,186,15.5212865,67.90141283,00:07:39
"230",230,2021-01-07 09:38:45,297.1,185,15.521296,67.90141567,00:07:41
"231",231,2021-01-07 09:38:47,296.8,189,15.521307,67.90141883,00:07:43
"232",232,2021-01-07 09:38:49,296.5,191,15.5213165,67.90142083,00:07:45
"233",233,2021-01-07 09:38:51,296.3,190,15.521315,67.90142267,00:07:46
"234",234,2021-01-07 09:38:53,296.2,186,15.52131617,67.901425,00:07:48
"235",235,2021-01-07 09:38:55,296,189,15.52132083,67.901422,00:07:52
"236",236,2021-01-07 09:38:57,295.9,190,15.52133183,67.901419,00:07:54
"237",237,2021-01-07 09:38:59,295.9,188,15.521333,67.90141983,00:07:56
"238",238,2021-01-07 09:39:01,295.7,186,15.52133267,67.90142317,00:07:58
"239",239,2021-01-07 09:39:03,295.2,184,15.52133183,67.90142167,00:07:59
"240",240,2021-01-07 09:39:05,295.2,185,15.52132417,67.90142417,00:08:01
"241",241,2021-01-07 09:39:07,295,185,15.521322,67.90142867,00:08:03
"242",242,2021-01-07 09:39:09,294.9,187,15.52132633,67.90142767,00:08:05
"243",243,2021-01-07 09:39:11,294.5,187,15.52131883,67.901431,00:08:07
"244",244,2021-01-07 09:39:13,294.3,187,15.5213135,67.90143133,00:08:09
"245",245,2021-01-07 09:39:15,294,189,15.52131433,67.90143233,00:08:11
"246",246,2021-01-07 09:39:17,293.9,189,15.52131467,67.9014315,00:08:12
"247",247,2021-01-07 09:39:19,293.6,187,15.52131417,67.901432,00:08:16
"248",248,2021-01-07 09:39:21,293.3,187,15.52130933,67.90143017,00:08:18
"249",249,2021-01-07 09:39:23,293.1,186,15.5213075,67.90143267,00:08:20
"250",250,2021-01-07 09:39:25,292.9,183,15.52129983,67.90143217,00:08:22
"251",251,2021-01-07 09:39:27,292.4,181,15.521292,67.90143517,00:08:23
"252",252,2021-01-07 09:39:29,292,180,15.52129867,67.90143467,00:08:25
"253",253,2021-01-07 09:39:31,291.7,187,15.52130367,67.90143867,00:08:27
"254",254,2021-01-07 09:39:33,291.6,186,15.52131117,67.9014415,00:08:29
"255",255,2021-01-07 09:39:35,291.6,185,15.5213195,67.9014395,00:08:31
"256",256,2021-01-07 09:39:37,291.4,184,15.521324,67.90143717,00:08:33
"257",257,2021-01-07 09:39:39,291.3,188,15.52133767,67.90143333,00:08:35
"258",258,2021-01-07 09:39:41,291,182,15.52134783,67.901436,00:08:36
"259",259,2021-01-07 09:39:43,290.9,186,15.5213595,67.9014365,00:08:38
"260",260,2021-01-07 09:39:45,290.5,187,15.52137883,67.90143683,00:08:42
"261",261,2021-01-07 09:39:47,290.4,188,15.52138817,67.90143267,00:08:44
"262",262,2021-01-07 09:39:49,290,189,15.52139567,67.901427,00:08:46
"263",263,2021-01-07 09:39:51,290,187,15.521401,67.90142667,00:08:48
"264",264,2021-01-07 09:39:53,289.9,189,15.52139867,67.90142567,00:08:49
"265",265,2021-01-07 09:39:55,289.7,191,15.52140467,67.90142217,00:08:51
"266",266,2021-01-07 09:39:57,289.4,191,15.521413,67.9014245,00:08:53
"267",267,2021-01-07 09:39:59,289.3,190,15.52141617,67.90142217,00:08:55
"268",268,2021-01-07 09:40:01,289.2,190,15.52142617,67.90142267,00:08:57
"269",269,2021-01-07 09:40:03,289.1,190,15.52143433,67.90141767,00:08:59
"270",270,2021-01-07 09:40:05,288.7,192,15.521434,67.90141433,00:09:01
"271",271,2021-01-07 09:40:07,288.7,196,15.52143283,67.90141167,00:09:02
"272",272,2021-01-07 09:40:09,288.6,195,15.521427,67.901411,00:09:04
"273",273,2021-01-07 09:40:11,288.4,194,15.52142717,67.9014075,00:09:08
"274",274,2021-01-07 09:40:13,288.3,197,15.5214265,67.90140667,00:09:10
"275",275,2021-01-07 09:40:15,288.1,200,15.52142067,67.90140683,00:09:12
"276",276,2021-01-07 09:40:17,287.9,202,15.5214165,67.90140417,00:09:14
"277",277,2021-01-07 09:40:19,287.8,202,15.52141317,67.90140483,00:09:15
"278",278,2021-01-07 09:40:21,287.5,206,15.52141,67.9014075,00:09:17
"279",279,2021-01-07 09:40:23,287.4,205,15.52141367,67.90140517,00:09:19
"280",280,2021-01-07 09:40:25,287.2,206,15.52142033,67.901403,00:09:21
"281",281,2021-01-07 09:40:27,287.1,207,15.52141917,67.901404,00:09:23
"282",282,2021-01-07 09:40:29,287.2,208,15.52141917,67.901404,00:09:23
"283",283,2021-01-07 09:40:31,287.2,207,15.52141583,67.90139967,00:09:27
"284",284,2021-01-07 09:40:33,287,206,15.52140183,67.90138433,00:09:30
"285",285,2021-01-07 09:40:35,286.8,203,15.5213905,67.90138167,00:09:32
"286",286,2021-01-07 09:40:37,286.6,201,15.52138717,67.901383,00:09:34
"287",287,2021-01-07 09:40:39,286.3,197,15.521379,67.90138583,00:09:36
"288",288,2021-01-07 09:40:41,286.3,192,15.52137683,67.9013885,00:09:37
"289",289,2021-01-07 09:40:43,286.3,193,15.52137167,67.90138883,00:09:39
"290",290,2021-01-07 09:40:45,286.1,191,15.52136617,67.901392,00:09:41
"291",291,2021-01-07 09:40:47,285.9,192,15.52136883,67.901393,00:09:43
"292",292,2021-01-07 09:40:49,285.7,193,15.52137183,67.90139517,00:09:45
"293",293,2021-01-07 09:40:51,285.6,195,15.52137683,67.90139417,00:09:47
"294",294,2021-01-07 09:40:53,285.6,199,15.52137733,67.90139433,00:09:49
"295",295,2021-01-07 09:40:55,285.5,199,15.52138017,67.90139383,00:09:50
"296",296,2021-01-07 09:40:57,285.4,199,15.52138983,67.90139383,00:09:54
"297",297,2021-01-07 09:40:59,285.3,198,15.52138917,67.9013915,00:09:56
"298",298,2021-01-07 09:41:01,285.1,197,15.52138433,67.901387,00:09:58
"299",299,2021-01-07 09:41:03,285,194,15.52137767,67.90138233,NA
"300",300,2021-01-07 09:41:05,285,192,15.52137783,67.90138033,00:10:01
"301",301,2021-01-07 09:41:07,285,195,15.521374,67.90138083,00:10:03
"302",302,2021-01-07 09:41:09,285,193,15.52137367,67.901381,00:10:05
"303",303,2021-01-07 09:41:11,284.8,196,15.52137683,67.90138333,00:10:07
"304",304,2021-01-07 09:41:13,284.9,200,15.52138033,67.90138417,00:10:09
"305",305,2021-01-07 09:41:15,285.3,200,15.52137767,67.90138383,00:10:11
"306",306,2021-01-07 09:41:17,285.6,203,15.5213835,67.90138217,00:10:13
"307",307,2021-01-07 09:41:19,285.7,203,15.52138667,67.90137967,00:10:14
"308",308,2021-01-07 09:41:21,285.9,204,15.5213865,67.901376,00:10:16
"309",309,2021-01-07 09:41:23,286,202,15.52138783,67.90136683,00:10:20
"310",310,2021-01-07 09:41:25,286,202,15.52139217,67.9013655,00:10:22
"311",311,2021-01-07 09:41:27,286.1,204,15.52139917,67.901365,00:10:24
"312",312,2021-01-07 09:41:29,286.3,202,15.5213975,67.9013675,00:10:26
"313",313,2021-01-07 09:41:31,286.2,201,15.52138933,67.90136283,00:10:27
"314",314,2021-01-07 09:41:33,286.3,201,15.52139267,67.90135783,00:10:29
"315",315,2021-01-07 09:41:35,286.3,203,15.521397,67.90135933,00:10:31
"316",316,2021-01-07 09:41:37,286.3,202,15.521404,67.90136333,00:10:33
"317",317,2021-01-07 09:41:39,286.3,200,15.52141583,67.9013645,00:10:35
"318",318,2021-01-07 09:41:41,286.3,201,15.52141567,67.90136333,00:10:37
"319",319,2021-01-07 09:41:43,286.3,201,15.5214095,67.90136333,00:10:39
"320",320,2021-01-07 09:41:45,285.9,200,15.52140717,67.90136433,00:10:40
"321",321,2021-01-07 09:41:47,285.7,197,15.52139717,67.90136083,00:10:44
"322",322,2021-01-07 09:41:49,285.5,193,15.521395,67.90135933,00:10:46
"323",323,2021-01-07 09:41:51,285.3,193,15.5213855,67.901358,00:10:48
"324",324,2021-01-07 09:41:53,285.3,194,15.521383,67.90136267,00:10:50
"325",325,2021-01-07 09:41:55,285.1,197,15.52137833,67.901366,00:10:52
"326",326,2021-01-07 09:41:57,284.8,197,15.52137283,67.90136717,00:10:53
"327",327,2021-01-07 09:41:59,284.6,198,15.5213695,67.90137017,00:10:55
"328",328,2021-01-07 09:42:01,284.5,194,15.5213645,67.90137633,00:10:57
"329",329,2021-01-07 09:42:03,284.4,195,15.52135783,67.90138167,00:10:59
"330",330,2021-01-07 09:42:05,284.2,192,15.52135583,67.90138583,00:11:01
"331",331,2021-01-07 09:42:07,283.9,186,15.52136817,67.9013845,00:11:03
"332",332,2021-01-07 09:42:09,283.9,180,15.52137917,67.90138317,00:11:04
"333",333,2021-01-07 09:42:11,283.4,176,15.521393,67.90138267,00:11:06
"334",334,2021-01-07 09:42:13,283.2,177,15.5214085,67.90138783,00:11:10
"335",335,2021-01-07 09:42:15,282.7,179,15.52141533,67.90138933,00:11:12
"336",336,2021-01-07 09:42:17,282.4,184,15.52141333,67.90138833,00:11:14
