datetime,videotime,lon,lat,depth,elapsed_seconds,xsmoothed,ysmoothed,depthsmoothed,LON2,LAT2,DEPTH2,videotime_interpolated
2021-01-07T09:31:07Z,00:00:04,5.27135717,8.001629,324.8,0,5.2713490440271356,8.001636023112678,324.82521417678004,5.2713490440271356,8.001636023112678,324.82521417678004,0
2021-01-07T09:31:08Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271353751494619,8.001634978905805,325.04848201462704,1
2021-01-07T09:31:09Z,00:00:06,5.27135883,8.0016285,324.9,2,5.271358404428537,8.001633730295346,325.25653018190013,5.271358404428537,8.001633730295346,325.25653018190013,2
2021-01-07T09:31:10Z,NA,NA,NA,NA,NA,NA,NA,NA,5.27136295315477,8.001632291616628,325.44933165411754,3
2021-01-07T09:31:11Z,00:00:07,5.27136583,8.00162833,325.2,4,5.271367347999137,8.001630677205045,325.62685940679694,5.271367347999137,8.001630677205045,325.62685940679694,4
2021-01-07T09:31:12Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271371539287474,8.00162890139598,325.7890864154556,5
2021-01-07T09:31:13Z,00:00:09,5.2713705,8.00162683,325.8,6,5.271375477345639,8.001626978524765,325.93598565561285,5.271375477345639,8.001626978524765,325.93598565561285,6
2021-01-07T09:31:14Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271379112499458,8.001624922926794,326.0675301027845,7
2021-01-07T09:31:15Z,00:00:11,5.27137817,8.00162633,326.5,8,5.271382395074786,8.00162274893741,326.18369273248976,5.271382395074786,8.00162274893741,326.18369273248976,8
2021-01-07T09:31:16Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271385275397448,8.001620470892016,326.28444652024575,9
2021-01-07T09:31:17Z,00:00:13,5.27137767,8.00162633,326.8,10,5.271387703793302,8.001618103125935,326.36976444156994,5.271387703793302,8.001618103125935,326.36976444156994,10
2021-01-07T09:31:18Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271389630588171,8.001615659974547,326.43961947198187,11
2021-01-07T09:31:19Z,00:00:15,5.27138483,8.0016225,327.1,12,5.271391006107911,8.001613155773258,326.4939845869969,5.271391006107911,8.001613155773258,326.4939845869969,12
2021-01-07T09:31:20Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271391780678345,8.001610604857385,326.532832762134,13
2021-01-07T09:31:21Z,00:00:17,5.27138767,8.001618,326.9,14,5.2713919046253315,8.001608021562348,326.5561369729112,5.2713919046253315,8.001608021562348,326.5561369729112,14
2021-01-07T09:31:22Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271391328274702,8.001605420223463,326.5638701948456,15
2021-01-07T09:31:23Z,00:00:19,5.27138983,8.00161117,326.8,16,5.271390001952302,8.001602815176144,326.55600540345597,5.271390001952302,8.001602815176144,326.55600540345597,16
2021-01-07T09:31:24Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271387875983972,8.00160022075571,326.5325155742587,17
2021-01-07T09:31:25Z,00:00:20,5.2713945,8.0016035,326.5,18,5.271384909175021,8.001597650408932,326.49345107258,5.271384909175021,8.001597650408932,326.49345107258,18
2021-01-07T09:31:26Z,NA,NA,NA,NA,NA,NA,NA,NA,5.27138113330914,8.001595109934634,326.4395283172242,19
2021-01-07T09:31:27Z,00:00:24,5.27138433,8.00158933,326.4,20,5.271376617399501,8.001592601230096,326.3718035101331,5.271376617399501,8.001592601230096,326.3718035101331,20
2021-01-07T09:31:28Z,NA,NA,NA,NA,NA,NA,NA,NA,5.27137143075674,8.001590126161393,326.2913355683228,21
2021-01-07T09:31:29Z,00:00:26,5.27137783,8.00158233,325.9,22,5.271365642691523,8.001587686594648,326.19918340880946,5.271365642691523,8.001587686594648,326.19918340880946,22
2021-01-07T09:31:30Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271359322514491,8.001585284395967,326.0964059486102,23
2021-01-07T09:31:31Z,00:00:28,5.27135883,8.00157617,325.6,24,5.271352539536293,8.001582921431439,325.98406210473985,5.271352539536293,8.001582921431439,325.98406210473985,24
2021-01-07T09:31:32Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271345363067594,8.00158059956716,325.86321079421543,25
2021-01-07T09:31:33Z,00:00:30,5.27133933,8.00157083,325.4,26,5.271337862419021,8.001578320669244,325.73491093405386,5.271337862419021,8.001578320669244,325.73491093405386,26
2021-01-07T09:31:34Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271330106901245,8.001576086603807,325.60022144127043,27
2021-01-07T09:31:35Z,00:00:32,5.27132017,8.00156567,325.2,28,5.271322165824908,8.001573899236915,325.46020123288156,5.271322165824908,8.001573899236915,325.46020123288156,28
2021-01-07T09:31:36Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271314108500663,8.001571760434683,325.31590922590385,29
2021-01-07T09:31:37Z,00:00:33,5.2713025,8.00155917,325,30,5.271306004239152,8.00156967206325,325.168404337354,5.271306004239152,8.00156967206325,325.168404337354,30
2021-01-07T09:31:38Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271297922351042,8.001567635988653,325.0187454842477,31
2021-01-07T09:31:39Z,00:00:35,5.2712905,8.0015565,324.8,32,5.271289932146976,8.00156565407705,324.86799158360054,5.271289932146976,8.00156565407705,324.86799158360054,32
2021-01-07T09:31:40Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271282102937586,8.001563728194506,324.7172015524308,33
2021-01-07T09:31:41Z,00:00:37,5.2712755,8.00155433,324.5,34,5.271274504033554,8.001561860207152,324.5674343077526,5.271274504033554,8.001561860207152,324.5674343077526,34
2021-01-07T09:31:42Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271267204745514,8.001560051981071,324.4197487665832,35
2021-01-07T09:31:43Z,00:00:39,5.27126417,8.00155367,324.3,36,5.271260274384116,8.001558305382375,324.27520384593885,5.271260274384116,8.001558305382375,324.27520384593885,36
2021-01-07T09:31:44Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271253782260017,8.001556622277139,324.13485846283606,37
2021-01-07T09:31:45Z,00:00:41,5.27124917,8.001557,324.1,38,5.271247797683853,8.001555004531516,323.9997715342912,5.271247797683853,8.001555004531516,323.9997715342912,38
2021-01-07T09:31:46Z,NA,NA,NA,NA,NA,NA,NA,NA,5.2712423787242635,8.001553452814372,323.8707945461597,39
2021-01-07T09:31:47Z,00:00:43,5.27123567,8.00156033,323.9,40,5.271237528399488,8.00155196193234,323.7477632283961,5.271237528399488,8.00155196193234,323.7477632283961,40
2021-01-07T09:31:48Z,NA,NA,NA,NA,NA,NA,NA,NA,5.2712332329038,8.001550524900424,323.6302028857506,41
2021-01-07T09:31:49Z,00:00:44,5.27122817,8.00155967,323.5,42,5.271229478427335,8.001549134733121,323.5176387452082,5.271229478427335,8.001549134733121,323.5176387452082,42
2021-01-07T09:31:50Z,NA,NA,NA,NA,NA,NA,NA,NA,5.2712262511601455,8.001547784444996,323.40959603375524,43
2021-01-07T09:31:51Z,00:00:46,5.271218,8.00155683,323.2,44,5.271223537292312,8.001546467050613,323.3055999783781,5.271223537292312,8.001546467050613,323.3055999783781,44
2021-01-07T09:31:52Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271221323013951,8.001545175564502,323.20517580606406,45
2021-01-07T09:31:53Z,00:00:50,5.271215,8.0015485,323.1,46,5.271219594515131,8.00154390300121,323.1078487437972,5.271219594515131,8.00154390300121,323.1078487437972,46
2021-01-07T09:31:54Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271218337985933,8.001542642375265,323.01314401856484,47
2021-01-07T09:31:55Z,00:00:52,5.2712125,8.00154333,323.1,48,5.2712175396164564,8.00154138670124,322.920586857353,5.2712175396164564,8.00154138670124,322.920586857353,48
2021-01-07T09:31:56Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271217185596784,8.001540128993675,322.8297024871474,49
2021-01-07T09:31:57Z,00:00:54,5.271212,8.00154167,323,50,5.271217262116998,8.001538862267104,322.74001613493493,5.271217262116998,8.001538862267104,322.74001613493493,50
2021-01-07T09:31:58Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271217755367191,8.001537579536066,322.6510530277006,51
2021-01-07T09:31:59Z,00:00:56,5.27121467,8.00154033,322.9,52,5.271218651537444,8.001536273815121,322.5623383924325,5.271218651537444,8.001536273815121,322.5623383924325,52
2021-01-07T09:32:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271219936817842,8.001534938118805,322.47339745611407,53
2021-01-07T09:32:01Z,00:00:57,5.27122033,8.00153717,322.6,54,5.271221597398477,8.00153356546166,322.3837554457338,5.271221597398477,8.00153356546166,322.3837554457338,54
2021-01-07T09:32:02Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271223619469437,8.001532148858242,322.2929375882764,55
2021-01-07T09:32:03Z,00:00:59,5.27122233,8.00153083,322.2,56,5.271225989220805,8.001530681323102,322.20046911072916,5.271225989220805,8.001530681323102,322.20046911072916,56
2021-01-07T09:32:04Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271228692842666,8.001529155870772,322.1058752400763,57
2021-01-07T09:32:05Z,00:01:01,5.27122533,8.00152833,322,58,5.2712317165251115,8.00152756551579,322.0086812033062,5.2712317165251115,8.00152756551579,322.0086812033062,58
2021-01-07T09:32:06Z,NA,NA,NA,NA,NA,NA,NA,NA,5.2712350464513404,8.001525903276658,321.9084124333508,59
2021-01-07T09:32:07Z,00:01:03,5.27123983,8.00152367,321.8,60,5.271238662117032,8.00152416599806,321.80479454121286,5.271238662117032,8.00152416599806,321.80479454121286,60
2021-01-07T09:32:08Z,NA,NA,NA,NA,NA,NA,NA,NA,5.27124252383742,8.001522361498594,321.6981272678898,61
2021-01-07T09:32:09Z,00:01:05,5.2712475,8.00151917,321.6,62,5.271246588510518,8.001520499552054,321.58881264074637,5.271246588510518,8.001520499552054,321.58881264074637,62
2021-01-07T09:32:10Z,NA,NA,NA,NA,NA,NA,NA,NA,5.2712508130343965,8.001518589932164,321.47725268714595,63
2021-01-07T09:32:11Z,00:01:07,5.2712625,8.001513,321.3,64,5.271255154307071,8.001516642412625,321.3638494344536,5.271255154307071,8.001516642412625,321.3638494344536,64
2021-01-07T09:32:12Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271259569226608,8.001514666767225,321.2490049100343,65
2021-01-07T09:32:13Z,00:01:09,5.2712765,8.00150783,320.8,66,5.271264014691032,8.001512672769675,321.13312114125205,5.271264014691032,8.001512672769675,321.13312114125205,66
2021-01-07T09:32:14Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271268447598382,8.001510670193712,321.0166001554715,67
2021-01-07T09:32:15Z,00:01:10,5.27128533,8.00150183,320.4,68,5.271272824846723,8.001508668813083,320.899843980057,5.271272824846723,8.001508668813083,320.899843980057,68
